song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
Barcarola (You Must Be A Christmas Tree),Sufjan Stevens,0.245,0.267,0,-12.571,1,0.0465,0.921,0.000387,0.0944,0.0692,72.139,audio_features,3Owm4uCMV4c56XoyERMMBD,spotify:track:3Owm4uCMV4c56XoyERMMBD,https://api.spotify.com/v1/tracks/3Owm4uCMV4c56XoyERMMBD,https://api.spotify.com/v1/audio-analysis/3Owm4uCMV4c56XoyERMMBD,422827,4,2
Basic Space,The xx,0.94,0.208,9,-15.235,0,0.0853,0.21,0.085,0.105,0.148,115.872,audio_features,16NE62lzGmi6ehGTNVI659,spotify:track:16NE62lzGmi6ehGTNVI659,https://api.spotify.com/v1/tracks/16NE62lzGmi6ehGTNVI659,https://api.spotify.com/v1/audio-analysis/16NE62lzGmi6ehGTNVI659,188120,4,2
Bathed In Grey,King Krule,0.62,0.322,7,-12.268,1,0.143,0.909,0.000112,0.0636,0.269,82.095,audio_features,7swRIXk3yPMiPdRcFRdvxL,spotify:track:7swRIXk3yPMiPdRcFRdvxL,https://api.spotify.com/v1/tracks/7swRIXk3yPMiPdRcFRdvxL,https://api.spotify.com/v1/audio-analysis/7swRIXk3yPMiPdRcFRdvxL,241879,4,2
Be Like You,Ed Sheeran,0.671,0.388,11,-6.516,1,0.0762,0.715,0.0,0.192,0.59,105.869,audio_features,6ThrnYkLPlKar6dUIggR6Q,spotify:track:6ThrnYkLPlKar6dUIggR6Q,https://api.spotify.com/v1/tracks/6ThrnYkLPlKar6dUIggR6Q,https://api.spotify.com/v1/audio-analysis/6ThrnYkLPlKar6dUIggR6Q,218373,4,2
Be My Witness,Bahamas,0.789,0.386,7,-9.006,1,0.033,0.529,0.00222,0.104,0.374,114.668,audio_features,3vvgWkF6GaM0r1JORGF9ju,spotify:track:3vvgWkF6GaM0r1JORGF9ju,https://api.spotify.com/v1/tracks/3vvgWkF6GaM0r1JORGF9ju,https://api.spotify.com/v1/audio-analysis/3vvgWkF6GaM0r1JORGF9ju,226853,4,2
Beau temps mauvais temps,TRICOT MACHINE,0.524,0.51,7,-6.287,1,0.0347,0.603,0.17,0.184,0.415,142.204,audio_features,3JXSeU9gmp9m5nLroykrfs,spotify:track:3JXSeU9gmp9m5nLroykrfs,https://api.spotify.com/v1/tracks/3JXSeU9gmp9m5nLroykrfs,https://api.spotify.com/v1/audio-analysis/3JXSeU9gmp9m5nLroykrfs,170800,4,2
Beautiful Boy,Freshly Ground,0.534,0.597,0,-11.126,0,0.0429,0.752,0.00131,0.0924,0.414,121.051,audio_features,5tITpbSrH6BVfLRTJg6Sga,spotify:track:5tITpbSrH6BVfLRTJg6Sga,https://api.spotify.com/v1/tracks/5tITpbSrH6BVfLRTJg6Sga,https://api.spotify.com/v1/audio-analysis/5tITpbSrH6BVfLRTJg6Sga,238400,4,2
Beautiful Boy,Ben Harper,0.583,0.471,2,-9.386,1,0.0299,0.577,0.0,0.0778,0.484,111.687,audio_features,5cUbs8a3T4f9xdTeBqrQCy,spotify:track:5cUbs8a3T4f9xdTeBqrQCy,https://api.spotify.com/v1/tracks/5cUbs8a3T4f9xdTeBqrQCy,https://api.spotify.com/v1/audio-analysis/5cUbs8a3T4f9xdTeBqrQCy,228000,4,2
Because,The Beatles,0.246,0.166,6,-20.719,0,0.0536,0.933,5.56e-05,0.358,0.0625,110.07,audio_features,2VRNkdYbYUAOAcw71IqPBx,spotify:track:2VRNkdYbYUAOAcw71IqPBx,https://api.spotify.com/v1/tracks/2VRNkdYbYUAOAcw71IqPBx,https://api.spotify.com/v1/audio-analysis/2VRNkdYbYUAOAcw71IqPBx,164632,4,2
Because - Anthology 3 Version,The Beatles,0.285,0.119,2,-13.644,1,0.0407,0.944,0.0,0.0842,0.0901,130.65,audio_features,5joRE018kvW87xEknBp8cS,spotify:track:5joRE018kvW87xEknBp8cS,https://api.spotify.com/v1/tracks/5joRE018kvW87xEknBp8cS,https://api.spotify.com/v1/audio-analysis/5joRE018kvW87xEknBp8cS,143720,4,2
Because - Remastered 2009,The Beatles,0.328,0.249,2,-11.777,1,0.0272,0.754,5.77e-06,0.134,0.162,81.257,audio_features,1rxoyGj1QuPoVi8fOft1Kt,spotify:track:1rxoyGj1QuPoVi8fOft1Kt,https://api.spotify.com/v1/tracks/1rxoyGj1QuPoVi8fOft1Kt,https://api.spotify.com/v1/audio-analysis/1rxoyGj1QuPoVi8fOft1Kt,165667,4,2
Being For The Benefit Of Mr Kite! - Take 7 / Anthology 2 Version,The Beatles,0.394,0.324,0,-12.884,1,0.0648,0.489,0.0,0.453,0.665,168.591,audio_features,09pDDl5WR4VAX7QKvJZkG8,spotify:track:09pDDl5WR4VAX7QKvJZkG8,https://api.spotify.com/v1/tracks/09pDDl5WR4VAX7QKvJZkG8,https://api.spotify.com/v1/audio-analysis/09pDDl5WR4VAX7QKvJZkG8,153533,3,2
Being For The Benefit Of Mr Kite! - Takes 1 & 2 / Anthology 2 Version,The Beatles,0.631,0.046,0,-20.754,1,0.15,0.584,0.0,0.134,0.319,109.365,audio_features,6a4VLKj9smz1GPTYdV3StU,spotify:track:6a4VLKj9smz1GPTYdV3StU,https://api.spotify.com/v1/tracks/6a4VLKj9smz1GPTYdV3StU,https://api.spotify.com/v1/audio-analysis/6a4VLKj9smz1GPTYdV3StU,65667,4,2
Being For The Benefit Of Mr. Kite! - Remastered 2009,The Beatles,0.526,0.413,0,-9.865,1,0.0446,0.338,0.0,0.0992,0.71,111.874,audio_features,6W35n1UlkvqhfMZstB4BXs,spotify:track:6W35n1UlkvqhfMZstB4BXs,https://api.spotify.com/v1/tracks/6W35n1UlkvqhfMZstB4BXs,https://api.spotify.com/v1/audio-analysis/6W35n1UlkvqhfMZstB4BXs,157533,4,2
